id_question;model_name;qtype;question;references;gemini-pro;bleu;ref_len;resp_len;rouge_1;rouge_2;rouge_l;cosine_sim;bert_score_f1;bert_score_r;bert_score_p
807;gemini-pro;inheritance;Is Wolman disease inherited ?;This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.;Yes, Wolman disease is an inherited disorder. It is an autosomal recessive condition, which means that both copies of the gene responsible for the disorder must be mutated in order for the disease to manifest. The gene associated with Wolman disease is known as the lysosomal acid lipase A (LIPA) gene. Mutations in this gene lead to a deficiency of the lysosomal acid lipase enzyme, which is responsible for breaking down certain fats in the body. This accumulation of fats in cells and tissues can lead to a variety of health problems, including liver and spleen enlargement, failure to thrive, and developmental delays.;0.052;44.0;91.0;0.362;0.112;0.277;0.564;0.12;0.265;-0.021
808;gemini-pro;treatment;What are the treatments for Heart Attack ?;There are many medicines that are used to treat a heart attack. - Clot-busters or thrombolytic drugs dissolve blood clots that are blocking blood flow to the heart.  - Beta blockers decrease the workload on your heart by slowing your heart rate.  - Angiotensin-converting enzyme (ACE) inhibitors lower your blood pressure and reduce the strain on your heart.  - Nitrates, such as nitroglycerin  relax blood vessels and relieve chest pain.  - Anticoagulants thin the blood and prevent clots from forming in your arteries.  - Antiplatelet medications, such as aspirin and clopidogrel, stop platelets from clumping together to form clots. These medications are given to people who have had a heart attack, have angina, or have had angioplasty. Clot-busters or thrombolytic drugs dissolve blood clots that are blocking blood flow to the heart. Beta blockers decrease the workload on your heart by slowing your heart rate. Angiotensin-converting enzyme (ACE) inhibitors lower your blood pressure and reduce the strain on your heart. Nitrates, such as nitroglycerin  relax blood vessels and relieve chest pain. Anticoagulants thin the blood and prevent clots from forming in your arteries. Antiplatelet medications, such as aspirin and clopidogrel, stop platelets from clumping together to form clots. These medications are given to people who have had a heart attack, have angina, or have had angioplasty. Doctors may also prescribe medicines to relieve pain and anxiety, or to treat irregular heart rhythms which often occur during a heart attack.;In the event of a heart attack, immediate medical attention is crucial. Treatments typically involve restoring blood flow to the heart and minimizing further damage to the heart muscle. Emergency treatments often include medications like aspirin, nitroglycerin, and clot-busting drugs to dissolve the blockage in the artery. In severe cases, angioplasty or stent placement may be necessary to open up the blocked artery. Long-term management involves lifestyle changes, medications to prevent blood clots and lower cholesterol, and cardiac rehabilitation to improve heart function and overall health. Regular monitoring and follow-up care are essential to prevent future heart attacks and manage any underlying conditions.;0.013;221.0;96.0;0.26;0.047;0.169;0.711;-0.093;-0.165;-0.023
809;gemini-pro;inheritance;Is enlarged parietal foramina inherited ?;This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has one parent with the condition.  However, in rare cases, people who inherit an altered gene do not have enlarged parietal foramina. (This situation is known as reduced penetrance.);Enlarged parietal foramina, also known as parietal foramina magna, is a condition in which the parietal foramina, a pair of small openings in the parietal bones of the skull, are abnormally large. Although there is evidence of a genetic component in the development of enlarged parietal foramina, inheritance patterns have not been definitively established. Studies have shown a higher prevalence of enlarged parietal foramina among family members, suggesting a potential genetic predisposition. However, the exact mode of inheritance, such as dominant, recessive, or polygenic inheritance, remains unclear due to limited research in this area. Additionally, environmental factors and other genetic variations might play a role in the development of enlarged parietal foramina, complicating the understanding of inheritance patterns. Further research is needed to fully elucidate the genetic basis of this condition.;0.023;55.0;117.0;0.269;0.052;0.168;0.616;-0.045;-0.02;-0.074
810;gemini-pro;inheritance;Is cone-rod dystrophy inherited ?;Cone-rod dystrophy is usually inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.  Less frequently, this condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most of these cases, an affected person has one parent with the condition.  Rarely, cone-rod dystrophy is inherited in an X-linked recessive pattern. The genes associated with this form of the condition are located on the X chromosome, which is one of the two sex chromosomes. In males (who have only one X chromosome), one altered copy of the gene in each cell is sufficient to cause the condition. In females (who have two X chromosomes), a mutation would have to occur in both copies of the gene to cause the disorder. Because it is unlikely that females will have two altered copies of this gene, males are affected by X-linked recessive disorders much more frequently than females. Females with one copy of the altered gene have mild vision problems, such as decreased visual acuity. A characteristic of X-linked inheritance is that fathers cannot pass X-linked traits to their sons.;Yes, cone-rod dystrophy is an inherited retinal disorder that affects both cone and rod cells in the eye. It is typically passed down in an autosomal dominant or autosomal recessive manner, meaning that it can be inherited from one or both parents. Inherited mutations in genes responsible for the function of cone and rod cells cause the disorder. These mutations can be passed down from either parent or occur spontaneously.;0.009;207.0;65.0;0.326;0.071;0.199;0.807;0.001;-0.108;0.112
811;gemini-pro;treatment;What are the treatments for spinal muscular atrophy with progressive myoclonic epilepsy ?;These resources address the diagnosis or management of spinal muscular atrophy with progressive myoclonic epilepsy:  - Genetic Testing Registry: Jankovic Rivera syndrome  - Muscular Dystrophy Association: Spinal Muscular Atrophy Types   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care;Spinal muscular atrophy with progressive myoclonic epilepsy (SMA-PME) is a rare neurodegenerative disorder characterized by muscle weakness, progressive myoclonus (involuntary muscle spasms), and epilepsy. Treatment options for SMA-PME are limited and primarily focus on managing symptoms and improving quality of life. Medications such as anticonvulsants can be used to control seizures, while physical therapy and assistive devices can help with muscle weakness and mobility issues. In some cases, genetic therapies or stem cell transplantation may be considered, but their availability and effectiveness vary.;0.078;52.0;82.0;0.22;0.094;0.202;0.638;-0.068;-0.01;-0.128
812;gemini-pro;information;What is (are) Langerhans cell histiocytosis ?;Langerhans cell histiocytosis (LCH) is a disorder that primarily affects children, but is also found in adults of all ages. People with LCH produce too many Langerhans cells or histiocytes, a form of white blood cell found in healthy people that is supposed to protect the body from infection. In people with LCH, these cells multiply excessively and build up in certain areas of the body, causing tumors called granulomas to form. The symptoms vary among affected individuals, and the cause of LCH is unknown. In most cases, this condition is not life-threatening. Some people do experience life-long problems associated with LCH.;Langerhans cell histiocytosis (LCH) is a rare disease characterized by the abnormal proliferation and accumulation of Langerhans cells, a type of immune cell, in various organs and tissues. It can manifest in various forms, including a single-system involvement, such as isolated bone lesions, or a multi-system involvement, affecting multiple organs simultaneously. Common symptoms may include bone pain, skin rashes, lung involvement causing respiratory issues, liver or spleen enlargement, and diabetes insipidus. The exact cause of LCH is unknown, but it is believed to be a combination of genetic and environmental factors. Treatment options depend on the extent and severity of the disease, ranging from observation and monitoring to chemotherapy, radiation therapy, or targeted therapies.;0.085;96.0;105.0;0.231;0.083;0.163;0.835;0.123;0.164;0.08
813;gemini-pro;information;What is (are) mannose-binding lectin deficiency ?;Mannose-binding lectin deficiency is a condition that affects the immune system. People with this condition have low levels of an immune system protein called mannose-binding lectin in their blood. These individuals are prone to recurrent infections, including infections of the upper respiratory tract and other body systems. People with this condition may also contract more serious infections such as pneumonia and meningitis. Depending on the type of infection, the symptoms caused by the infections vary in frequency and severity.  Infants and young children with mannose-binding lectin deficiency seem to be more susceptible to infections, but adults can also develop recurrent infections. In addition, affected individuals undergoing chemotherapy or taking drugs that suppress the immune system are especially prone to infections.;Mannose-binding lectin (MBL) deficiency is a rare inherited disorder of the immune system in which the body is unable to produce sufficient amounts of mannose-binding lectin, a protein that plays a crucial role in the innate immune response. This deficiency impairs the body's ability to recognize and eliminate certain types of bacteria, viruses, and fungi, making individuals more susceptible to severe and recurrent infections, particularly those caused by encapsulated microorganisms such as Streptococcus pneumoniae, Haemophilus influenzae, and Neisseria meningitidis. MBL deficiency can also increase the risk of autoimmune diseases and certain types of cancer.;0.039;112.0;86.0;0.357;0.11;0.214;0.849;0.186;0.268;0.103
814;gemini-pro;treatment;What are the treatments for Moebius Syndrome ?;There is no specific course of treatment for Moebius syndrome. Treatment is supportive and in accordance with symptoms. Infants may require feeding tubes or special bottles to maintain sufficient nutrition. Surgery may correct crossed eyes and improve limb and jaw deformities. Physical and speech therapy often improves motor skills and coordination, and leads to better control of speaking and eating abilities. Plastic reconstructive surgery may be beneficial in some individuals. Nerve and muscle transfers to the corners of the mouth have been performed to provide limited ability to smile.;"Treatment for Moebius Syndrome aims to address the specific challenges faced by individuals with the condition. These treatments may include:

* Physical therapy: to improve muscle strength and range of motion in the affected facial muscles.
* Occupational therapy: to help with activities of daily living, such as eating, drinking, and speaking.
* Speech therapy: to help with speech and language development.
* Eye care: to address any associated eye problems, such as strabismus (misalignment of the eyes) or ptosis (drooping of the eyelid).
* Surgery: in some cases, surgery may be necessary to improve facial symmetry, correct eye alignment, or address other physical impairments.";0.056;87.0;95.0;0.373;0.081;0.224;0.875;0.14;0.162;0.116
815;gemini-pro;treatment;What are the treatments for episodic ataxia ?;These resources address the diagnosis or management of episodic ataxia:  - Consortium for Clinical Investigations of Neurological Channelopathies (CINCH)  - Gene Review: Gene Review: Episodic Ataxia Type 1  - Gene Review: Gene Review: Episodic Ataxia Type 2  - Genetic Testing Registry: Episodic ataxia type 1  - Genetic Testing Registry: Episodic ataxia type 2  - Genetic Testing Registry: Episodic ataxia, type 3  - Genetic Testing Registry: Episodic ataxia, type 4  - Genetic Testing Registry: Episodic ataxia, type 7  - MedlinePlus Encyclopedia: Movement - uncoordinated  - MedlinePlus Encyclopedia: Vertigo-associated disorders   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care;Episodic ataxia, a rare neurological condition characterized by intermittent attacks of incoordination and imbalance, has limited treatment options. Management typically involves addressing the underlying cause, if identifiable. In some cases, medications like anticonvulsants or calcium channel blockers may help reduce the frequency and severity of attacks. Physical therapy and vestibular rehabilitation can improve balance and coordination. For certain genetic forms of episodic ataxia, specific treatments like gene therapy or enzyme replacement therapy may be in development or under investigation. Additionally, lifestyle modifications such as maintaining a healthy diet, getting regular exercise, and managing stress can help improve overall well-being and potentially reduce the impact of symptoms.;0.023;101.0;101.0;0.186;0.025;0.14;0.66;-0.154;-0.164;-0.148
816;gemini-pro;inheritance;Is benign chronic pemphigus inherited ?;This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.;Benign chronic pemphigus is not an inherited condition. It is an autoimmune disease, meaning that the body's immune system mistakenly attacks its own tissues. The exact cause of benign chronic pemphigus is unknown, but it is thought to be triggered by a combination of genetic and environmental factors.;0.014;23.0;43.0;0.214;0.0;0.143;0.56;0.06;0.098;0.019
817;gemini-pro;genetic changes;What are the genetic changes related to genitopatellar syndrome ?;Genitopatellar syndrome is caused by mutations in the KAT6B gene. This gene provides instructions for making a type of enzyme called a histone acetyltransferase. These enzymes modify histones, which are structural proteins that attach (bind) to DNA and give chromosomes their shape. By adding a small molecule called an acetyl group to histones, histone acetyltransferases control the activity of certain genes. Little is known about the function of the histone acetyltransferase produced from the KAT6B gene. It appears to regulate genes that are important for early development, including development of the skeleton and nervous system.  The mutations that cause genitopatellar syndrome occur near the end of the KAT6B gene and lead to the production of a shortened histone acetyltransferase enzyme. Researchers suspect that the shortened enzyme may function differently than the full-length version, altering the regulation of various genes during early development. However, it is unclear how these changes lead to the specific features of genitopatellar syndrome.;Genitopatellar syndrome is a rare genetic disorder characterized by skeletal and genitourinary abnormalities. It is caused by mutations in the FGFR1 gene, which encodes a protein involved in signal transduction. FGFR1 mutations can result in the production of a non-functional protein, which leads to the characteristic features of the syndrome. These features include abnormal development of the thumbs and big toes, joint contractures, and delayed bone growth. Additionally, affected individuals may have kidney and urinary tract abnormalities, as well as intellectual disability. The severity of the disorder can vary significantly between individuals, even those with the same mutation.;0.044;138.0;87.0;0.234;0.093;0.182;0.613;0.022;-0.032;0.074
818;gemini-pro;treatment;What are the treatments for Meier-Gorlin syndrome ?;These resources address the diagnosis or management of Meier-Gorlin syndrome:  - Genetic Testing Registry: Meier-Gorlin syndrome  - Genetic Testing Registry: Meier-Gorlin syndrome 2  - Genetic Testing Registry: Meier-Gorlin syndrome 3  - Genetic Testing Registry: Meier-Gorlin syndrome 4  - Genetic Testing Registry: Meier-Gorlin syndrome 5   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care;Currently, there is no cure for Meier-Gorlin syndrome. Treatment focuses on managing the symptoms and improving the quality of life for individuals with the condition. This may include medications to manage seizures, physical therapy to improve mobility, occupational therapy to help with daily activities, and speech therapy to improve communication skills. In some cases, surgery may be necessary to correct certain physical abnormalities or to relieve pressure on the brain. Additionally, genetic counseling is recommended for families affected by Meier-Gorlin syndrome to provide information about the condition and its inheritance pattern.;0.019;63.0;86.0;0.222;0.049;0.141;0.612;-0.024;0.008;-0.058
819;gemini-pro;frequency;How many people are affected by eosinophil peroxidase deficiency ?;"Approximately 100 individuals with eosinophil peroxidase deficiency have been described in the scientific literature. Based on blood test data, varying estimates of the prevalence of the condition have been reported in specific populations. Eosinophil peroxidase deficiency is estimated to occur in 8.6 in 1,000 Yemenite Jews, in 3 in 1,000 North-African Jews, and in 1 in 1,000 Iraqi Jews. In northeastern Italy, the condition occurs in approximately 1 in 14,000 individuals; in Japan it occurs in 1 in 36,000 people; and in Luxembourg, eosinophil peroxidase deficiency is thought to occur in 1 in 100,000 people.";Eosinophil peroxidase deficiency is a rare genetic disorder characterized by a deficiency of the enzyme eosinophil peroxidase (EPO), a protein found in eosinophils, a type of white blood cell. The exact number of people affected by eosinophil peroxidase deficiency is unknown, but it is estimated to affect approximately 1 in 250,000 individuals worldwide. The condition is more common in certain ethnic groups, such as individuals of African descent.;0.079;91.0;61.0;0.316;0.109;0.232;0.846;0.19;0.124;0.256
820;gemini-pro;outlook;What is the outlook for Adult Primary Liver Cancer ?;Certain factors affect prognosis (chance of recovery) and treatment options. The prognosis (chance of recovery) and treatment options depend on the following:         - The stage of the cancer (the size of the tumor, whether it affects part or all of the liver, or has spread to other places in the body).    - How well the liver is working.    - The patients general health, including whether there is cirrhosis of the liver.;The outlook for adult primary liver cancer is highly variable and depends on several factors, including the stage of the cancer, the patient's overall health, and the type of treatment received. For patients with early-stage liver cancer, surgical removal of the tumor may be curative. However, for patients with advanced-stage liver cancer, the outlook is generally poor, with a median survival time of less than a year. Treatment options for advanced-stage liver cancer include chemotherapy, radiation therapy, targeted therapy, and immunotherapy. These treatments can help to shrink the tumor and relieve symptoms, but they are rarely curative. Liver transplantation may be an option for some patients with advanced-stage liver cancer, but this is a major surgery with significant risks.;0.025;57.0;107.0;0.275;0.056;0.165;0.663;-0.028;0.005;-0.064
821;gemini-pro;treatment;What are the treatments for Cephalic Disorders ?;Treatments for cephalic disorders depend upon the particular type of disorder. For most cephalic disorders, treatment is only symptomatic and supportive. In some cases, anticonvulsant medications shunts, or physical therapy are appropriate.;Cephalic disorders, encompassing a spectrum of head-related conditions, require tailored treatment approaches. Medications, including analgesics for pain relief, antiemetics for nausea and vomiting, and sedatives or hypnotics for sleep disturbances, are commonly employed. Furthermore, physical therapy, chiropractic care, acupuncture, and massage therapy may provide relief from symptoms associated with cephalic disorders. In cases of migraine, specific medications known as triptans are often used to abort or reduce the severity of attacks. Additionally, lifestyle modifications such as stress management techniques, regular exercise, and avoiding certain dietary triggers can be beneficial in managing cephalic disorders. In severe or chronic cases, surgical interventions may be considered.;0.016;31.0;101.0;0.245;0.032;0.151;0.727;0.048;0.148;-0.051
822;gemini-pro;information;What is (are) Menkes syndrome ?;"Menkes syndrome is a disorder that affects copper levels in the body. It is characterized by sparse, kinky hair; failure to gain weight and grow at the expected rate (failure to thrive); and deterioration of the nervous system. Additional signs and symptoms include weak muscle tone (hypotonia), sagging facial features, seizures, developmental delay, and intellectual disability. Children with Menkes syndrome typically begin to develop symptoms during infancy and often do not live past age 3. Early treatment with copper may improve the prognosis in some affected individuals. In rare cases, symptoms begin later in childhood.  Occipital horn syndrome (sometimes called X-linked cutis laxa) is a less severe form of Menkes syndrome that begins in early to middle childhood. It is characterized by wedge-shaped calcium deposits in a bone at the base of the skull (the occipital bone), coarse hair, and loose skin and joints.";Menkes syndrome, also known as Menkes kinky hair syndrome, is a rare genetic disorder that primarily affects males and is caused by mutations in the ATP7A gene. This gene encodes a copper-transporting ATPase protein, and its dysfunction leads to impaired copper absorption and utilization in the body. As a result, individuals with Menkes syndrome exhibit a range of symptoms, including distinctive kinky hair, intellectual disability, seizures, growth failure, and connective tissue abnormalities. The condition typically presents in early infancy and is often fatal within the first decade of life due to complications such as respiratory infections and neurological deterioration. Menkes syndrome is inherited in an X-linked recessive manner, meaning that it is more commonly seen in males, while females can be carriers and may exhibit milder symptoms.;0.038;134.0;118.0;0.343;0.084;0.188;0.79;0.09;0.096;0.081
823;gemini-pro;information;What is (are) Fetal retinoid syndrome ?;Fetal retinoid syndrome is a characteristic pattern of physical and mental birth defects that results from maternal use of retinoids during pregnancy. The most well known retinoid is isotretinoin (Accutane), a drug used to treat severe cystic acne. Birth defects associated with fetal retinoid syndrome include: hydrocephalus, microcephaly, intellectual disabilities, ear and eye abnormalities, cleft palate and other facial differences, and heart defects. Isotretinoin can cause these birth defects in the early weeks of pregnancy, even before a woman knows that she is pregnant.;Fetal retinoid syndrome is a group of birth defects that can occur in a baby when the mother takes a type of vitamin A medication called retinoids during pregnancy. Retinoids are often used to treat skin conditions such as acne, psoriasis, or wrinkles. The most common birth defects seen with fetal retinoid syndrome include distinctive facial features with an abnormally small head size, cleft lip/palate, heart problems, and delayed physical and mental development. Retinoids can also cause hearing loss, eye problems, and skeletal abnormalities in the baby. It is important for women who are pregnant or planning to become pregnant to avoid taking retinoids, as there is no safe dose during pregnancy.;0.113;79.0;104.0;0.435;0.152;0.333;0.895;0.276;0.272;0.277
824;gemini-pro;treatment;What are the treatments for oral-facial-digital syndrome ?;These resources address the diagnosis or management of oral-facial-digital syndrome:  - Gene Review: Gene Review: Oral-Facial-Digital Syndrome Type I  - Genetic Testing Registry: Mohr syndrome  - Genetic Testing Registry: Oral-facial-digital syndrome  - Genetic Testing Registry: Orofacial-digital syndrome III  - Genetic Testing Registry: Orofacial-digital syndrome IV  - Genetic Testing Registry: Orofaciodigital syndrome 10  - Genetic Testing Registry: Orofaciodigital syndrome 11  - Genetic Testing Registry: Orofaciodigital syndrome 5  - Genetic Testing Registry: Orofaciodigital syndrome 6  - Genetic Testing Registry: Orofaciodigital syndrome 7  - Genetic Testing Registry: Orofaciodigital syndrome 8  - Genetic Testing Registry: Orofaciodigital syndrome 9  - Genetic Testing Registry: Orofaciodigital syndromes  - MedlinePlus Encyclopedia: Cleft Lip and Palate  - MedlinePlus Encyclopedia: Polycystic Kidney Disease  - MedlinePlus Encyclopedia: Polydactyly   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care;Treatment for oral-facial-digital syndrome depends on the specific symptoms and severity of the condition. Treatment may involve a team of specialists, including geneticists, craniofacial surgeons, dentists, orthodontists, ophthalmologists, and speech therapists. Treatment options may include surgery to correct structural abnormalities, such as cleft lip and palate, and dental work to address dental problems. Speech therapy can help improve speech difficulties, while occupational therapy can address fine motor skills and coordination issues. In some cases, medication may be prescribed to manage seizures or other medical problems associated with the syndrome. Regular monitoring and follow-up are essential to ensure optimal outcomes and address any emerging complications. Genetic counseling can provide families with information about the condition and its inheritance pattern, as well as support and guidance in making informed decisions about family planning.;0.031;125.0;126.0;0.201;0.059;0.121;0.633;-0.27;-0.398;-0.139
825;gemini-pro;symptoms;What are the symptoms of Imerslund-Grasbeck syndrome ?;What are the signs and symptoms of Imerslund-Grasbeck syndrome? Affected individuals often first experience non-specific health problems, such as failure to thrive and grow, recurrent gastrointestinal or respiratory infections, pallor and fatigue. Individuals often have anemia, and about half of affected individuals also have mild proteinuria but no signs of kidney disease. Individuals may also have mild neurological damage. Congenital (present at birth) abnormalities of the urinary tract were present in some of the original reported cases. The age at diagnosis is usually anywhere from a few months of age to about 14 years of age. The Human Phenotype Ontology provides the following list of signs and symptoms for Imerslund-Grasbeck syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Autosomal recessive inheritance - Childhood onset - Confusion - Dementia - Malabsorption of Vitamin B12 - Megaloblastic anemia - Paresthesia - Proteinuria - Sensory impairment - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.;Imerslund-Grasbeck syndrome, also known as selective vitamin B12 malabsorption with proteinuria, is a rare autosomal recessive disorder characterized by impaired absorption of vitamin B12 leading to megaloblastic anemia. Symptoms typically present in infancy or early childhood and may include fatigue, pale skin, shortness of breath, poor growth, delayed development, recurrent infections, and neurological abnormalities such as seizures, tremors, and difficulty walking. Additional symptoms may include proteinuria (excessive protein in the urine), failure to thrive, and gastrointestinal issues like diarrhea and abdominal pain.;0.005;295.0;80.0;0.292;0.059;0.142;0.801;-0.096;-0.312;0.138
826;gemini-pro;genetic changes;What are the genetic changes related to sick sinus syndrome ?;Sick sinus syndrome can result from genetic or environmental factors. In many cases, the cause of the condition is unknown.  Genetic changes are an uncommon cause of sick sinus syndrome. Mutations in two genes, SCN5A and HCN4, have been found to cause the condition in a small number of families. These genes provide instructions for making proteins called ion channels that transport positively charged atoms (ions) into cardiac cells, including cells that make up the SA node. The flow of these ions is essential for creating the electrical impulses that start each heartbeat and coordinate contraction of the cardiac muscle. Mutations in these genes reduce the flow of ions, which alters the SA node's ability to create and spread electrical signals. These changes lead to abnormal heartbeats and the other symptoms of sick sinus syndrome.  A particular variation in another gene, MYH6, appears to increase the risk of developing sick sinus syndrome. The protein produced from the MYH6 gene forms part of a larger protein called myosin, which generates the mechanical force needed for cardiac muscle to contract. Researchers believe that the MYH6 gene variation changes the structure of myosin, which can affect cardiac muscle contraction and increase the likelihood of developing an abnormal heartbeat.  More commonly, sick sinus syndrome is caused by other factors that alter the structure or function of the SA node. These include a variety of heart conditions, other disorders such as muscular dystrophy, abnormal inflammation, or a shortage of oxygen (hypoxia). Certain medications, such as drugs given to treat abnormal heart rhythms or high blood pressure, can also disrupt SA node function. One of the most common causes of sick sinus syndrome in children is trauma to the SA node, such as damage that occurs during heart surgery.  In older adults, sick sinus syndrome is often associated with age-related changes in the heart. Over time, the SA node may harden and develop scar-like damage (fibrosis) that prevents it from working properly.;Sick sinus syndrome (SSS) is a heart rhythm disorder characterized by the inability of the sinoatrial node (SA node) to generate electrical impulses effectively, leading to slow heart rate and pauses. Several genetic changes have been identified as potential causes of SSS, including mutations in genes encoding ion channels, such as SCN5A, HCN4, and KCNQ1, which are involved in the generation and conduction of electrical impulses in the heart. Mutations in genes related to calcium handling, such as CACNA1C and CASQ2, have also been implicated in the development of SSS. Additionally, genetic variations in genes involved in fibrosis and inflammation, such as TGF-beta and IL-6, have been associated with an increased risk of SSS. These genetic changes can disrupt the normal electrical properties and structure of the heart, leading to the symptoms observed in SSS.;0.011;296.0;125.0;0.343;0.08;0.167;0.797;0.086;-0.011;0.183
827;gemini-pro;frequency;How many people are affected by hypermanganesemia with dystonia, polycythemia, and cirrhosis ?;The prevalence of HMDPC is unknown. A small number of cases have been described in the scientific literature.;Hypermanganesemia with dystonia, polycythemia, and cirrhosis is an extremely rare disorder with only a handful of cases reported in medical literature. The exact number of affected individuals is unknown due to the lack of comprehensive epidemiological studies. As a result, it is challenging to provide a precise estimate of the prevalence of this condition.;0.032;15.0;47.0;0.302;0.133;0.189;0.39;0.145;0.328;-0.029
828;gemini-pro;information;What is (are) Fainting ?;"Fainting is a temporary loss of consciousness. If you're about to faint, you'll feel dizzy, lightheaded, or nauseous. Your field of vision may ""white out"" or ""black out."" Your skin may be cold and clammy. You lose muscle control at the same time, and may fall down.    Fainting usually happens when your blood pressure drops suddenly, causing a decrease in blood flow to your brain. It is more common in older people. Some causes of fainting include       - Heat or dehydration     - Emotional distress     - Standing up too quickly     - Certain medicines     - Drop in blood sugar     - Heart problems        When someone faints, make sure that the airway is clear and check for breathing. The person should stay lying down for 10-15 minutes. Most people recover completely. Fainting is usually nothing to worry about, but it can sometimes be a sign of a serious problem. If you faint, it's important to see your health care provider and find out why it happened.";Fainting, also known as syncope, is a temporary loss of consciousness (LOC) caused by a brief disruption of blood flow to the brain. It is a common condition, affecting up to 40% of the population at some point in their lives. Fainting can be caused by a variety of factors, including dehydration, low blood sugar, heart problems, and certain medications. Symptoms of fainting can include dizziness, lightheadedness, nausea, and sweating. Treatment for fainting typically involves lying down and elevating the legs, and drinking fluids. In some cases, medication may be necessary to prevent future episodes.;0.062;149.0;88.0;0.33;0.121;0.239;0.835;0.132;0.053;0.212
829;gemini-pro;symptoms;What are the symptoms of PPM-X syndrome ?;What are the signs and symptoms of PPM-X syndrome? The Human Phenotype Ontology provides the following list of signs and symptoms for PPM-X syndrome. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Behavioral abnormality 90% Cognitive impairment 90% Hypertonia 90% Macroorchidism 90% EEG abnormality 50% Gait disturbance 50% Macrotia 50% Seizures 50% Abnormality of the cardiovascular system 7.5% Developmental regression 7.5% Scoliosis 7.5% Abnormality of the teeth - Ataxia - Babinski sign - Bruxism - Choreoathetosis - Delayed speech and language development - Drooling - Excessive salivation - Facial hypotonia - High palate - Hyperreflexia - Intellectual disability, mild - Microcephaly - Parkinsonism - Pes cavus - Psychosis - Short neck - Shuffling gait - Slow progression - Spastic gait - Tremor - X-linked recessive inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.;PPM-X syndrome, also known as Perry-Perkins-Mainster-X-linked syndrome, is an extremely rare genetic disorder characterized by intellectual disability, speech problems, distinctive facial features, and skeletal abnormalities. Symptoms may include delayed development of motor skills, difficulty with coordination and balance, seizures, hyperactivity, short stature, skeletal abnormalities such as scoliosis or kyphosis, distinctive facial features including a round face, prominent forehead, wide-set eyes, and a short nose, and speech problems such as delayed speech, difficulty understanding language, and articulation problems.;0.002;266.0;74.0;0.208;0.019;0.104;0.666;-0.242;-0.358;-0.124
